"chinese","sign"
"幾天","幾天"
"百分之百","百分之百"
"好多","好多"
"推鉛球","推鉛球"
"算盤","算盤"
"會","會"
"原住民","原住民"
"以上","以上"
"豐富","豐富"
"附件","附件"
"伴","伴"
"成","成"
"積怨","積怨"
"跨越","跨越"
"行動","行動"
"增加","增加"
"加油","加(汽)油"
"上癮","上癮"
"地址","地址"
"調配","調配"
"冒險","冒險"
"事情","事情"
"影響","影響"
"慈愛","慈愛"
"蓋章","蓋章"
"危險","危險"
"怕","怕"
"非","非"
"到底","到底"
"下午","下午"
"再","再"
"同意","同意"
"耕田","耕田"
"空軍","空軍"
"飛機","飛機"
"機場","機場"
"阿里山","阿里山"
"完全","完全"
"從早到晚","從早到晚"
"光了","光了"
"差不多","差不多"
"快好了","快好了"
"光棍","光棍"
"過了","過了"
"已經","已經"
"也","也"
"總是","總是"
"救護車","救護車"
"兒童樂園","兒童樂園"
"以牙還牙","以牙還牙"
"祖先","祖先"
"古","古"
"和","和"
"而且","而且"
"角","角"
"火大","火大"
"動物","動物"
"兼併","兼併"
"宣佈","宣佈"
"回答","回答"
"螞蟻","螞蟻"
"反","反"
"大廈","大廈"
"中風","中風"
"上告","上告"
"鼓掌","鼓掌"
"約","約"
"學徒","學徒"
"大約","大約"
"檳榔","檳榔"
"環島","環島"
"安排","安排"
"佈置","佈置"
"到","到"
"遲到","遲到"
"目中無人","目中無人"
"人工電子耳","人工電子耳"
"不要臉","不要臉"
"亞","亞"
"亞洲","亞洲"
"問","問"
"互問","互問"
"分配","分配"
"刮目相看","刮目相看"
"在","在"
"攻擊","攻擊"
"企圖","企圖"
"勾引","勾引"
"典禮","典禮"
"澳洲","澳洲"
"見錢眼開","見錢眼開"
"獎狀","獎狀"
"青","青"
"把","把"
"嬰兒","嬰兒"
"光棍","光棍"
"單身女","單身女"
"後面","後面"
"壞","壞"
"壞習慣","壞習慣"
"不好看","不好看"
"倒楣","倒楣"
"運氣差","運氣差"
"乞丐","乞丐"
"保釋","保釋"
"禿頭","禿頭"
"球","球"
"原子筆","原子筆"
"竹子","竹子"
"筍","筍"
"香蕉","香蕉"
"板橋","板橋"
"銀行","銀行"
"垮台","垮台"
"赤膊","赤膊"
"根本","根本"
"棒球","棒球"
"籃子","籃子"
"籃球","籃球"
"洗澡","洗澡"
"搏鬥","搏鬥"
"烤肉","烤肉"
"是","是"
"出獄","出獄"
"忙得不可開交","忙得不可開交"
"吃不消","吃不消"
"豆","豆"
"熊","熊"
"八字鬍","鬍子(八字鬍)"
"鬍子","鬍子"
"美","美"
"床","床"
"蜜蜂","蜜蜂"
"傳呼機","傳呼機"
"啤酒","啤酒"
"之前","之前"
"求","求"
"被發現","被發現"
"北投","北投"
"相信","相信"
"歧視","歧視"
"鈴","鈴"
"以下","以下"
"腰帶","腰帶"
"仁","仁"
"打賭","打賭"
"間","間"
"飲料","飲料"
"自行車","自行車"
"標會","標會"
"得標","得標"
"大","大"
"撞球","撞球"
"鳥","鳥"
"出生","出生"
"生","生"
"咬","咬"
"黑","黑"
"勒索","勒索"
"黑市","黑市"
"陰溝裡翻船","陰溝裡翻船"
"盲","盲"
"血","血"
"血型","血型"
"吹","吹"
"藍","藍"
"唬人","唬人"
"看不清楚","看不清楚"
"臉紅","臉紅"
"吹牛","吹牛"
"舟","舟"
"身體","身體"
"煮","煮"
"臉皮厚","臉皮厚"
"骨頭","骨頭"
"書","書"
"麻煩","麻煩"
"盆","盆"
"保齡球","保齡球"
"盒子","盒子"
"童子軍","童子軍"
"煞車","煞車"
"失約","失約"
"樹枝","樹枝"
"分支機關","分支機關"
"胸罩","胸罩"
"勇敢","勇敢"
"麵包","麵包"
"打破","打破"
"呼吸","呼吸"
"喘","喘"
"賄賂","賄賂"
"橋","橋"
"光","光"
"明","明"
"抗議","抗議"
"大開眼界","大開眼界"
"咖啡色","咖啡色"
"刷子","刷子"
"桶子","桶子"
"佛","佛"
"昆蟲","昆蟲"
"負荷","負荷"
"埋葬","埋葬"
"公共汽車","公共汽車"
"生意","生意"
"熱鬧","熱鬧"
"忙","忙"
"不過","不過"
"蝴蝶","蝴蝶"
"屁股","屁股"
"鈕扣","鈕扣"
"買","買"
"櫃子","櫃子"
"蛋糕","蛋糕"
"日曆","日曆"
"叫","叫"
"點名","點名"
"書法","書法"
"息怒","息怒"
"駱駝","駱駝"
"照相","照相"
"拍照","拍照"
"能","能"
